variant,Gamma,h,level,degree,nodes,cells,omega,S,psi_min,x_attach,y_max_vortex,x_vortex_center,y_vortex_center,n_iterations,converged,psi_path,stream_path,conv_path
verification,-2.0,1.0,level1,1,328,579,-2.278311062632015,0.87784325538476,-0.10029543311051464,1.118312249256769,-0.2710407927118638,1.42551845994515,-0.698079200479427,7,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p1_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p1_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p1_convergence.png
verification,-2.0,1.0,level1,2,328,579,-2.278311062632015,0.87784325538476,-0.0998954659371154,1.118312249256769,-0.2710407927118638,1.42551845994515,-0.698079200479427,8,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p2_convergence.png
verification,-2.0,1.0,level1,3,328,579,-2.270820823294484,0.8807387969511483,-0.09933091460020985,1.118312249256769,-0.2710407927118638,1.42551845994515,-0.698079200479427,7,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p3_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p3_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level1_p3_convergence.png
verification,-2.0,1.0,level2,1,1275,2400,-2.6272371145652023,0.761255993572926,-0.11387326200356067,1.083768172614942,-0.2420842785552646,1.433556137244557,-0.6734896379363912,11,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p1_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p1_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p1_convergence.png
verification,-2.0,1.0,level2,2,1275,2400,-2.625535479353337,0.7617493710245329,-0.11354347742952545,1.083768172614942,-0.2420842785552646,1.433556137244557,-0.6734896379363912,12,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p2_convergence.png
verification,-2.0,1.0,level2,3,1275,2400,-2.623053925144967,0.7624700280950065,-0.11335228267644923,1.083768172614942,-0.2420842785552646,1.433556137244557,-0.6734896379363912,11,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p3_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p3_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level2_p3_convergence.png
verification,-2.0,1.0,level3,1,4982,9681,-2.7626674322619302,0.7239380233191886,-0.1179671438931613,1.0733205577351517,-0.2424270246319219,1.437654246272134,-0.6646227136012303,12,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p1_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p1_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p1_convergence.png
verification,-2.0,1.0,level3,2,4982,9681,-2.7654813072738067,0.7232014169611535,-0.11795139415550666,1.0733205577351517,-0.2424270246319219,1.437654246272134,-0.6646227136012303,14,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p2_convergence.png
verification,-2.0,1.0,level3,3,4982,9681,-2.771296417483634,0.7216838976091994,-0.11805200761123086,1.0733205577351517,-0.2424270246319219,1.437654246272134,-0.6646227136012303,15,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p3_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p3_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/verification_h1.0_level3_p3_convergence.png
Gamma_-1.0,-1.0,1.0,level3,2,4982,9681,-2.921042145205348,0.3423435713316969,-0.06199914945055611,1.0733205577351517,-0.3952434900669647,1.286175547855319,-0.7557799686046823,13,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-1.0_h1.0_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-1.0_h1.0_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-1.0_h1.0_level3_p2_convergence.png
Gamma_-2.0,-2.0,1.0,level3,2,4982,9681,-2.7654813072738067,0.7232014169611535,-0.11795139415550666,1.0733205577351517,-0.2424270246319219,1.437654246272134,-0.6646227136012303,14,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-2.0_h1.0_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-2.0_h1.0_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-2.0_h1.0_level3_p2_convergence.png
Gamma_-4.0,-4.0,1.0,level3,2,4982,9681,-2.434446630273756,1.643083873870012,-0.2043687243814494,1.0733205577351517,-0.1102109787910781,1.749700003768246,-0.5566729260634571,20,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-4.0_h1.0_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-4.0_h1.0_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/Gamma_-4.0_h1.0_level3_p2_convergence.png
h_0.5,-2.0,0.5,level3,2,3539,6826,-5.845253026782956,0.3421579854346763,-0.10948285778266241,1.0543083608705714,-0.06666480689599381,1.338514521425141,-0.294882247356033,18,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_0.5_h0.5_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_0.5_h0.5_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_0.5_h0.5_level3_p2_convergence.png
h_1.0,-2.0,1.0,level3,2,4982,9681,-2.7654813072738067,0.7232014169611535,-0.11795139415550666,1.0733205577351517,-0.2424270246319219,1.437654246272134,-0.6646227136012303,14,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.0_h1.0_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.0_h1.0_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.0_h1.0_level3_p2_convergence.png
h_1.5,-2.0,1.5,level3,2,6527,12743,-1.6525062217777233,1.2102828864683195,-0.1211515190888205,1.0731949566636434,-0.4452491412002851,1.552957242909961,-1.066607265556971,12,True,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.5_h1.5_level3_p2_psi.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.5_h1.5_level3_p2_streamlines.png,/home/retr0/PycharmProjects/FEM/Вихре-потенциальное течение (ступенька)/results/h_1.5_h1.5_level3_p2_convergence.png
