R,level,degree,nodes,cells,h_max,L2_error,max_error
3.0,level1,1,61,92,0.9386067929841093,0.0665355866538382,0.0910600977742575
3.0,level1,2,61,92,0.9386067929841093,0.05562323625006635,0.06880717136265413
3.0,level1,3,61,92,0.9386067929841093,0.039862161867320056,0.0605148290480515
3.0,level2,1,525,956,0.3153054707231744,0.023085629039144743,0.04277418508331832
3.0,level2,2,525,956,0.3153054707231744,0.021249978769132098,0.02967267787352479
3.0,level2,3,525,956,0.3153054707231744,0.009882395537849949,0.018510535001799333
3.0,level3,1,6894,13430,0.08879680919798415,0.019809426713643146,0.030350189412747808
3.0,level3,2,6894,13430,0.08879680919798415,0.019753370202446413,0.02741157342872258
3.0,level3,3,6894,13430,0.08879680919798415,0.01165351718792204,0.017241680874756415
5.0,level1,1,135,228,1.0410610525678703,0.03192413846516256,0.05560970573852142
5.0,level1,2,135,228,1.0410610525678703,0.02103373653906359,0.028880169816370316
5.0,level1,3,135,228,1.0410610525678703,0.07881026561458745,0.10681221251945061
5.0,level2,1,1297,2456,0.34345985698672693,0.008429836978119224,0.016943662568082773
5.0,level2,2,1297,2456,0.34345985698672693,0.005555001778255513,0.007707253061998376
5.0,level2,3,1297,2456,0.34345985698672693,0.02568714224333873,0.037749644714978325
5.0,level3,1,18493,36448,0.09346733899376505,0.004722382682611193,0.010185004092873706
5.0,level3,2,18493,36448,0.09346733899376505,0.004381501415889707,0.006091779260508412
5.0,level3,3,18493,36448,0.09346733899376505,0.004088388996363111,0.006914463323828279
7.0,level1,1,232,410,1.1400418913360162,0.028034062286125143,0.04422128671668357
7.0,level1,2,232,410,1.1400418913360162,0.015891322642453232,0.022773860238315624
7.0,level1,3,232,410,1.1400418913360162,0.0855190186234086,0.1205419261866234
7.0,level2,1,2385,4586,0.3448874251977192,0.006792617577982241,0.018886643715203655
7.0,level2,2,2385,4586,0.3448874251977192,0.0030320171556559006,0.004384449501211973
7.0,level2,3,2385,4586,0.3448874251977192,0.02813281104468035,0.03987315765553623
7.0,level3,1,34446,68176,0.09465065319540857,0.002383928363871091,0.007791100570431864
7.0,level3,2,34446,68176,0.09465065319540857,0.001662187540156927,0.0023645955797619855
7.0,level3,3,34446,68176,0.09465065319540857,0.006605545683486511,0.010481722190369247
